letter,font,scale_y_letter,scale_y_font,min_x,min_y,max_x,max_y
B,HiraginoSans-W3,1.307189542,1.298314558,427,415,576,614
B,HiraginoSansGB-W3,1.307189542,1.298314558,427,415,576,614
B,HoboStd,1.204819277,1.186206022,433,404,571,601
B,HoeflerText-Regular,1.438848921,1.394658692,416,408,580,602
B,ITFDevanagari-Book,1.515151515,1.484788007,406,459,576,655
B,ITFDevanagariMarathi-Book,1.515151515,1.484788007,406,459,576,655
B,Impact,1.265822785,1.250172339,441,429,560,626
B,InaiMathi,1.515151515,1.495677989,438,430,567,627
B,IowanOldStyle-Black,1.428571429,1.389171953,400,449,597,644
B,Kailasa,1.388888889,1.357285039,447,419,566,614
B,KannadaMN,1.550387597,1.5168707,429,438,583,634
B,KannadaSangamMN,1.470588235,1.450327477,434,444,576,641
B,Kefa-Regular,1.492537313,1.46354013,422,441,578,637
B,KhmerMN,1.739130435,1.700078846,428,471,589,667
B,KhmerSangamMN,1.449275362,1.428489768,430,463,573,660
B,KohinoorBangla-Regular,1.428571429,1.410059006,441,451,567,648
B,KohinoorDevanagari-Regular,1.428571429,1.410059006,441,451,567,648
B,KohinoorTelugu-Regular,1.428571429,1.410059006,441,451,567,648
B,Kokonor,1.459854015,1.370502132,417,457,588,644
B,KozGoPr6N-Regular,1.290322581,1.298494376,447,415,564,616
B,KozGoPro-Regular,1.290322581,1.298494376,447,415,564,616
B,KozMinPr6N-Regular,1.360544218,1.328869443,429,421,569,617
B,KozMinPro-Regular,1.360544218,1.328869443,429,421,569,617
B,Krungthep,1.342281879,1.336994856,433,434,566,634
B,KufiStandardGK,1.388888889,1.357285039,447,432,566,627
B,LaoMN,1.550387597,1.517378862,426,438,586,634
B,LaoSangamMN,1.470588235,1.450327477,434,448,576,645
B,LetterGothicStd,1.398601399,1.37754756,449,404,556,602
B,LithosPro-Regular,1.418439716,1.37731798,451,407,561,601
B,Lucida Bright Demibold,1.388888889,1.353740375,418,433,575,628
B,Lucida Bright Demibold Italic,1.388888889,1.351518297,395,433,571,628
B,Lucida Bright Italic,1.388888889,1.351297139,399,433,565,628
B,Lucida Bright Regular,1.388888889,1.353377016,422,433,566,628
B,Lucida Sans Demibold,1.388888889,1.357285039,439,434,574,629
B,Lucida Sans Regular,1.388888889,1.357285039,447,433,566,628
B,Lucida Sans Typewriter Bold,1.388888889,1.364795884,436,432,573,629
B,Lucida Sans Typewriter Regular,1.388888889,1.364071561,442,432,566,629
B,LucidaBright,1.388888889,1.353377016,422,433,566,628
B,LucidaGrande,1.388888889,1.357285039,447,435,566,630
B,LucidaSans,1.388888889,1.357285039,447,433,566,628
B,Luminari-Regular,1.290322581,1.218172745,409,435,584,625
B,MalayalamMN,1.550387597,1.517378862,426,456,586,652
B,MalayalamSangamMN,1.470588235,1.450327477,434,420,576,617
B,Marion-Regular,1.503759398,1.481397248,414,407,585,605
B,MarkerFelt-Thin,1.19047619,1.175298302,447,414,552,612
B,Menlo-Regular,1.379310345,1.359633448,440,428,568,626
B,MesquiteStd,1.307189542,1.303533068,465,400,531,601
B,MicrosoftSansSerif,1.398601399,1.384324744,430,429,578,627
B,MinionPro-Regular,1.550387597,1.504111734,422,414,577,609
B,Monaco,1.324503311,1.297086098,443,433,558,629
B,MonotypeGurmukhi,1.388888889,1.357285039,447,422,566,617
B,Montserrat-Regular,1.438848921,1.421263326,425,439,591,637
