letter,font,min_x,min_y,max_x,max_y
A,Kefa-Regular,435,459,564,593
A,KhmerMN,442,480,557,598
A,KhmerSangamMN,438,473,560,611
A,KohinoorBangla-Regular,442,464,558,604
A,KohinoorDevanagari-Regular,442,464,558,604
A,KohinoorTelugu-Regular,442,464,558,604
A,Kokonor,439,472,576,608
A,KozGoPr6N-Regular,440,435,559,587
A,KozGoPro-Regular,440,435,559,587
A,KozMinPr6N-Regular,438,437,560,587
A,KozMinPro-Regular,438,437,560,587
A,Krungthep,449,452,549,601
A,KufiStandardGK,432,450,566,594
A,LaoMN,435,457,564,589
A,LaoSangamMN,440,464,559,600
A,LetterGothicStd,452,425,548,574
A,LithosPro-Regular,424,426,576,576
A,Lucida Bright Demibold,420,450,579,595
A,Lucida Bright Demibold Italic,424,449,578,595
A,Lucida Bright Italic,425,449,574,595
A,Lucida Bright Regular,426,449,574,595
A,Lucida Sans Demibold,428,451,570,595
A,Lucida Sans Regular,432,450,566,594
A,Lucida Sans Typewriter Bold,442,450,558,594
A,Lucida Sans Typewriter Regular,441,451,559,595
A,LucidaBright,426,449,574,595
A,LucidaGrande,432,452,566,596
A,LucidaSans,432,450,566,594
A,Luminari-Regular,428,450,566,601
A,MalayalamMN,435,468,564,600
A,MalayalamSangamMN,440,445,559,581
A,Marion-Regular,433,434,567,569
A,MarkerFelt-Thin,443,423,557,591
A,Menlo-Regular,443,447,556,592
A,MesquiteStd,472,424,527,577
A,MicrosoftSansSerif,432,449,566,592
A,MinionPro-Regular,435,440,565,572
A,Monaco,443,448,556,599
A,MonotypeGurmukhi,432,442,566,586
A,Montserrat-Regular,428,457,570,596
A,Mshtakan,430,455,569,589
A,MshtakanBold,431,452,567,589
A,MshtakanBoldOblique,422,453,554,589
A,MshtakanOblique,433,456,556,589
A,Muna,432,429,566,573
A,MunaBlack,428,429,570,573
A,MunaBold,428,429,570,573
A,MyanmarMN,435,465,564,597
A,MyanmarSangamMN,440,456,559,592
A,MyriadArabic-Regular,459,471,540,567
A,MyriadHebrew-Regular,444,440,556,574
A,MyriadPro-Regular,444,440,556,574
A,Nadeem,432,447,566,591
A,NewPeninimMT,432,428,566,572
A,Noteworthy-Light,439,459,561,636
A,NotoNastaliqUrdu,432,546,566,690
A,NuevaStd-Cond,455,444,542,568
A,OCRAStd,450,422,549,577
A,Optima-Regular,436,452,562,592
A,OratorStd,458,433,541,569
A,OriyaMN,435,457,564,589
A,OriyaSangamMN,430,445,570,604
A,PTMono-Regular,443,449,556,588
A,PTSans-Regular,443,447,557,589
A,PTSerif-Regular,432,459,568,601
A,Palatino-Roman,425,442,572,582
A,Papyrus,426,458,573,599
A,Phosphate-Inline,433,460,566,593
A,PingFangHK-Regular,434,463,565,605
