letter,font,scale_y_letter,scale_y_font,scale_offset_y,scale_offset_x
A,HiraMinPro-W3,1.369863014,1.363849566,-11,1
A,HiraMinProN-W3,1.369863014,1.363849566,-11,1
A,HiraginoSans-W3,1.315789474,1.298314558,-13,0
A,HiraginoSansGB-W3,1.315789474,1.298314558,-13,0
A,HoboStd,1.176470588,1.186206022,-2,1
A,HoeflerText-Regular,1.408450704,1.394658692,-2,0.5
A,ITFDevanagari-Book,1.492537313,1.484788007,-55,0.5
A,ITFDevanagariMarathi-Book,1.492537313,1.484788007,-55,0.5
A,Impact,1.265822785,1.250172339,-26,0
A,InaiMathi,1.515151515,1.495677989,-27,0
A,IowanOldStyle-Black,1.428571429,1.389171953,-43,0
A,Kailasa,1.388888889,1.357285039,-14,0.5
A,KannadaMN,1.515151515,1.5168707,-34,1
A,KannadaSangamMN,1.470588235,1.450327477,-41,0
A,Kefa-Regular,1.492537313,1.46354013,-36,0.5
A,KhmerMN,1.694915254,1.700078846,-67,0
A,KhmerSangamMN,1.449275362,1.428489768,-60,1
A,KohinoorBangla-Regular,1.428571429,1.410059006,-48,0.5
A,KohinoorDevanagari-Regular,1.428571429,1.410059006,-48,0.5
A,KohinoorTelugu-Regular,1.428571429,1.410059006,-48,0.5
A,Kokonor,1.470588235,1.370502132,-48,-11
A,KozGoPr6N-Regular,1.315789474,1.298494376,-14,0
A,KozGoPro-Regular,1.315789474,1.298494376,-14,0
A,KozMinPr6N-Regular,1.333333333,1.328869443,-17,0.5
A,KozMinPro-Regular,1.333333333,1.328869443,-17,0.5
A,Krungthep,1.342281879,1.336994856,-34,0.5
A,KufiStandardGK,1.388888889,1.357285039,-27,0.5
A,LaoMN,1.515151515,1.517378862,-34,0.5
A,LaoSangamMN,1.470588235,1.450327477,-45,0
A,LetterGothicStd,1.342281879,1.37754756,-2,0.5
A,LithosPro-Regular,1.333333333,1.37731798,-5,0.5
A,Lucida Bright Demibold,1.379310345,1.353740375,-28,0.5
A,Lucida Bright Demibold Italic,1.369863014,1.351518297,-28,25
A,Lucida Bright Italic,1.369863014,1.351297139,-28,26.5
A,Lucida Bright Regular,1.369863014,1.353377016,-28,0.5
A,Lucida Sans Demibold,1.388888889,1.357285039,-29,0.5
A,Lucida Sans Regular,1.388888889,1.357285039,-28,0.5
A,Lucida Sans Typewriter Bold,1.388888889,1.364795884,-29,0.5
A,Lucida Sans Typewriter Regular,1.388888889,1.364071561,-29,0.5
A,LucidaBright,1.369863014,1.353377016,-28,0.5
A,LucidaGrande,1.388888889,1.357285039,-30,0.5
A,LucidaSans,1.388888889,1.357285039,-28,0.5
A,Luminari-Regular,1.324503311,1.218172745,-23,4
A,MalayalamMN,1.515151515,1.517378862,-52,0.5
A,MalayalamSangamMN,1.470588235,1.450327477,-17,0
A,Marion-Regular,1.481481481,1.481397248,-3,-0.5
A,MarkerFelt-Thin,1.19047619,1.175298302,-7,0
A,Menlo-Regular,1.379310345,1.359633448,-26,1
A,MesquiteStd,1.307189542,1.303533068,-1,0
A,MicrosoftSansSerif,1.398601399,1.384324744,-27,0.5
A,MinionPro-Regular,1.515151515,1.504111734,-9,0
A,Monaco,1.324503311,1.297086098,-29,0.5
A,MonotypeGurmukhi,1.388888889,1.357285039,-17,0.5
A,Montserrat-Regular,1.438848921,1.421263326,-37,1
A,Mshtakan,1.492537313,1.484788007,-32,0.5
A,MshtakanBold,1.459854015,1.443884217,-28,1
A,MshtakanBoldOblique,1.470588235,1.460703649,-30,16.5
A,MshtakanOblique,1.503759398,1.503372519,-34,8
A,Muna,1.388888889,1.357285039,1,0.5
A,MunaBlack,1.388888889,1.357285039,1,0.5
A,MunaBold,1.388888889,1.357285039,1,0.5
A,MyanmarMN,1.515151515,1.517378862,-47,0.5
A,MyanmarSangamMN,1.470588235,1.450327477,-33,0
A,MyriadArabic-Regular,2.083333333,2.058044128,-39,0
A,MyriadHebrew-Regular,1.492537313,1.470704313,-10,0
A,MyriadPro-Regular,1.492537313,1.471506347,-10,0
A,Nadeem,1.388888889,1.357285039,-24,0.5
A,NewPeninimMT,1.388888889,1.357285039,2,0.5
A,Noteworthy-Light,1.129943503,1.125474972,-53,0
A,NotoNastaliqUrdu,1.388888889,1.357285039,-158,0.5
A,NuevaStd-Cond,1.612903226,1.599716912,-9,2
A,OCRAStd,1.290322581,1.290004454,0,1
A,Optima-Regular,1.428571429,1.423112574,-31,0.5
A,OratorStd,1.470588235,1.481003851,-2,1
A,OriyaMN,1.515151515,1.517378862,-34,0.5
A,OriyaSangamMN,1.257861635,1.24021996,-30,-0.5
A,PTMono-Regular,1.438848921,1.412577162,-25,0.5
A,PTSans-Regular,1.408450704,1.40528931,-26,0
A,PTSerif-Regular,1.408450704,1.395899657,-41,0
A,Palatino-Roman,1.428571429,1.408397709,-15,2
A,Papyrus,1.418439716,1.474158176,-46,1
A,Phosphate-Inline,1.503759398,1.487611505,-40,0
A,PingFangHK-Regular,1.408450704,1.391330364,-47,0
A,PingFangSC-Regular,1.408450704,1.391330364,-47,0
A,PingFangTC-Regular,1.408450704,1.391330364,-47,0
A,PlantagenetCherokee,1.418439716,1.431334656,-1,1.5
A,PoplarStd,1.342281879,1.335955608,-2,1
A,PrestigeEliteStd-Bd,1.526717557,1.642658376,-7,0.5
A,Raanana,1.492537313,1.484788007,-6,0.5
A,RaananaBold,1.459854015,1.443884217,-3,1
A,Roboto-Regular,1.408450704,1.392625746,-29,0.5
A,Rockwell-Regular,1.360544218,1.328011744,10,0
A,RosewoodStd-Regular,1.333333333,1.328300786,-14,-8
A,STHeitiSC-Medium,1.315789474,1.347612508,0,1
A,STHeitiTC-Medium,1.315789474,1.347612508,0,1
A,STIXGeneral-Regular,1.492537313,1.484381136,-56,0.5
A,STIXIntegralsD-Regular,1.388888889,1.357285039,-195,0.5
A,STIXIntegralsSm-Regular,1.388888889,1.357285039,-42,0.5
A,STIXIntegralsUp-Regular,1.388888889,1.357285039,-42,0.5
A,STIXIntegralsUpD-Regular,1.388888889,1.357285039,-195,0.5
A,STIXIntegralsUpSm-Regular,1.388888889,1.357285039,-42,0.5
A,STIXNonUnicode-Regular,1.388888889,1.357285039,-96,0.5
A,STIXSizeFiveSym-Regular,1.388888889,1.357285039,-30,0.5
A,STIXSizeFourSym-Regular,1.388888889,1.357285039,-252,0.5
A,STIXSizeOneSym-Regular,1.388888889,1.357285039,-115,0.5
A,STIXSizeThreeSym-Regular,1.388888889,1.357285039,-252,0.5
A,STIXSizeTwoSym-Regular,1.388888889,1.357285039,-183,0.5
A,STIXVariants-Regular,1.388888889,1.357285039,-42,0.5
A,STSong,1.515151515,1.529925851,-14,3
A,STSongti-SC-Regular,1.515151515,1.529925851,-45,2.5
A,Sana,1.388888889,1.357285039,-1,0.5
A,Sathu,1.324503311,1.298598776,-17,0
A,SavoyeLetPlain,1.481481481,1.471140498,-8,6.5
A,Seravek,1.503759398,1.471667718,-35,0
A,ShreeDev0714,1.360544218,1.344704084,-24,0
A,SignPainter-HouseScript,1.5625,1.56017636,-13,-5
A,Silom,1.342281879,1.336994856,-28,0.5
