letter,font,scale_y_letter,scale_y_font,scale_offset_y,scale_offset_x,score
A,ITFDevanagariMarathi-Book,1.492537313,1.484788007,-55,0.5,72
A,Lucida Bright Regular,1.369863014,1.353377016,-28,0.5,72
A,LucidaBright,1.369863014,1.353377016,-28,0.5,72
A,Mshtakan,1.492537313,1.484788007,-32,0.5,72
A,Raanana,1.492537313,1.484788007,-6,0.5,72
A,STIXGeneral-Regular,1.492537313,1.484381136,-56,0.5,72
A,Tahoma,1.379310345,1.35818516,-36,1,72
A,Times-Roman,1.492537313,1.484788007,-11,0.5,72
A,Yantramanav-Regular,1.57480315,1.556239946,-45,1,72
A,ArialNarrow,1.398601399,1.384324744,-29,1,73
A,ArialUnicodeMS,1.398601399,1.384324744,-48,0.5,73
A,HelveticaNeue,1.408450704,1.388134014,-32,0,73
A,MicrosoftSansSerif,1.398601399,1.384324744,-27,0.5,73
A,AdobeFangsongStd-Regular,1.333333333,1.32935918,-17,1,74
A,ArialMT,1.398601399,1.384324744,-25,0,74
A,BanglaMN,1.333333333,1.331138612,-39,0.5,74
A,GurmukhiMN,1.515151515,1.517378862,-43,0.5,74
A,InaiMathi,1.515151515,1.495677989,-27,0,74
A,KhmerMN,1.694915254,1.700078846,-67,0,74
A,LaoMN,1.515151515,1.517378862,-34,0.5,74
A,MalayalamMN,1.515151515,1.517378862,-52,0.5,74
A,MyanmarMN,1.515151515,1.517378862,-47,0.5,74
A,OriyaMN,1.515151515,1.517378862,-34,0.5,74
A,SinhalaMN,1.515151515,1.517378862,-34,0.5,74
A,TamilMN,1.515151515,1.517378862,-34,0.5,74
A,TeluguMN,1.515151515,1.517378862,-34,0.5,74
A,TimesNewRomanPSMT,1.481481481,1.482508729,-32,0.5,74
A,Verdana,1.379310345,1.35818516,-36,0.5,74
A,AppleMyungjo,1.360544218,1.360017343,-18,0.5,75
A,AvenirNext-Regular,1.418439716,1.402208199,-39,0.5,75
A,Baskerville,1.492537313,1.465791626,-31,-1,75
A,BigCaslon-Medium,1.369863014,1.375987339,-28,0.5,75
A,ChaparralPro-Regular,1.515151515,1.51260868,-13,2,75
A,GillSans,1.459854015,1.437548279,-32,0,75
A,PTSans-Regular,1.408450704,1.40528931,-26,0,75
A,Seravek,1.503759398,1.471667718,-35,0,75
A,AdobeKaitiStd-Regular,1.333333333,1.328869443,-17,0.5,76
A,AdobeSongStd-Light,1.5625,1.551189852,-36,0,76
A,AndaleMono,1.459854015,1.438215154,-30,-0.5,76
A,KozMinPr6N-Regular,1.333333333,1.328869443,-17,0.5,76
